title	href	dek	author	publish_date	thumbnail	sponsor
Celebs Are Growing Out Their Beards While They're Stuck at Home. Should You?	https://www.esquire.com/style/grooming/a31990850/celebrity-social-distancing-beards-coronavirus/	A follicular investigation.	Garrett Munce	2020-03-31T17:32:00Z	https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/index-quarantinebeards-2-new-1585666886.png?crop=1xw:1xh;center,top&resize=480:*	
The Best Natural Sunscreens to Keep Your Face Looking Its Best	https://www.esquire.com/style/grooming/g26900415/best-natural-sunscreen-for-men/	Every option you need to keep your skin safe, whether you're sprawled on the beach or taking a socially distant walk.	Avidan Grossman	2020-03-30T16:09:00Z	https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/sunscreen-1-1585324275.jpg?crop=1.00xw:1.00xh;0,0&resize=480:*	
How to Cut Your Hair (or at Least Keep It Presentable) at Home	https://www.esquire.com/style/grooming/a31957881/how-to-cut-your-own-hair-men/	Social distancing and shop closures means going the DIY route.	Garrett Munce	2020-03-27T18:04:00Z	https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/indexself-1585329333.jpg?crop=1xw:1xh;center,top&resize=480:*	
How to Help Your Barber While the Shop Is Closed	https://www.esquire.com/style/grooming/a31956315/how-to-help-barber-shops-covid-19-coronavirus/	The folks we trust to keep our hair on-point aren't at work. Here's how to do right by them right now.	Garrett Munce	2020-03-27T17:11:00Z	https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/indexbarb-1585325086.jpg?crop=1xw:1xh;center,top&resize=480:*	
The Best Electric Shavers to Buy Right Now	https://www.esquire.com/style/grooming/advice/g2911/best-electric-shavers/	All the (ahem) buzz about the best options on the market.	Avidan Grossman	2020-03-05T16:12:00Z	https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/index-1-1583251657.jpg?crop=1.00xw:1.00xh;0,0&resize=480:*	
A Gray Beard Was the Grooming Power Move at the 2020 Oscars	https://www.esquire.com/style/grooming/a30852464/gray-beard-trend-oscars-academy-awards-2020/	Celebrities are embracing their age, and it looks great on them.	Garrett Munce	2020-02-10T15:02:00Z	https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/gettyimages-1205153479.jpg?crop=1.00xw:0.335xh;0,0.194xh&resize=480:*	
10 Moisturizers With SPF to Keep You Looking Younger, Longer	https://www.esquire.com/style/grooming/g20159657/best-moisturizer-with-spf-for-men/	Use these to protect your face from sun damage all year.	Lauren Kranc	2020-02-05T15:54:00Z	https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/index-1579818370.jpg?crop=1.00xw:1.00xh;0,0&resize=480:*	
In a Daring Move, the FTC Is Cracking Down on Potential Monopolies in...Razors?	https://www.esquire.com/style/grooming/a30753881/harrys-schick-edgewell-razors-acquisition-blocked-ftc/	The agency just blocked the $1.37 billion acquisition of Harry's by Schick's parent company, Edgewell.	Avidan Grossman	2020-02-04T16:07:00Z	https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/index-79-1580831698.jpg?crop=1xw:1xh;center,top&resize=480:*	
This Is My Wintertime Skincare Routine and It’s Saving My Ass (Well, Actually, My Face)	https://www.esquire.com/style/grooming/a30548459/winter-skincare-tips-for-combination-skin/	Here's how I get my combination skin through the dermis-damaging months.	Nico Amarca	2020-01-27T18:09:00Z	https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/index-1579900024.jpg?crop=1.00xw:1.00xh;0,0&resize=480:*	
The After-Shave Balm That Finally Fixed My Razor Burn	https://www.esquire.com/style/grooming/a30612253/loccitane-cade-after-shave-balm-review-endorsement/	After years spent avoiding a clean shave, I discovered L'Occitane's game-changing Cade moisturizer.	Matt Miller	2020-01-22T18:32:00Z	https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/index-1579712270.jpg?crop=1.00xw:0.747xh;0,0.162xh&resize=480:*	The Endorsement
2020 is the Year of the Menicure	https://www.esquire.com/style/grooming/a30612393/manicure-for-men-trend/	Do you even polish, bro?	Garrett Munce	2020-01-22T11:30:00Z	https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/index-1579641356.jpg?crop=1xw:1xh;center,top&resize=480:*	
13 Post-Shave Products That'll Make Your Face Feel (and Look) Better	https://www.esquire.com/style/grooming/advice/g2806/best-after-shave/	Avoid the burn, bumps, and everything else with the right aftershave.	Esquire Editors	2020-01-14T13:42:00Z	https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/index-76-1577741772.jpg?crop=1.00xw:1.00xh;0,0&resize=480:*	
Timothée Chalamet Can Have Little a Mustache, As a Treat	https://www.esquire.com/style/grooming/a30468268/timothee-chalamet-mustache-reactions/	Nobody's sure about Timmy's new wispy boi—except me.	Ben Boskovich	2020-01-10T14:34:00Z	https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/gettyimages-1198348354.jpg?crop=1.00xw:0.752xh;0,0.0962xh&resize=480:*	
Happy 2020 Golden Globes to Pierce Brosnan's Facial Hair and Pierce Brosnan's Facial Hair Only	https://www.esquire.com/style/grooming/a30405953/pierce-brosnan-golden-globes-2020/	"The artist formerly known as ""Bond"" now goes by ""Van Dyke."""	Ben Boskovich	2020-01-06T00:53:00Z	https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/77th-annual-golden-globe-awards-pictured-pierce-brosnan-news-photo-1578271341.jpg?crop=1.00xw:0.699xh;0,0.0427xh&resize=480:*	
Your In-Flight Skin-Care Manual	https://www.esquire.com/style/grooming/a30299753/flight-travel-skincare-grooming/	Arrive moisturized and refreshed.	Garrett Munce	2020-01-01T12:00:00Z	https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/mask1-1576875725.jpg?crop=1.00xw:0.710xh;0,0.122xh&resize=480:*	
The Best Straight Razors for an Old-School Shave	https://www.esquire.com/style/grooming/g30062293/best-straight-razor/	Shaving with a cutthroat razor isn't as scary as it sounds. No, really.	Jonathan Evans	2019-11-30T19:50:00Z	https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/index-69-1575140119.jpg?crop=1xw:1xh;center,top&resize=480:*	
Panasonic's Arc5 Shaver Might Just Convince You to Go Electric	https://www.esquire.com/style/grooming/a30028646/panasonics-arc5-shaver-review-endorsement/	Tired of the old-school razor? Here's your solution.	Scott Christian	2019-11-29T11:00:00Z	https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/index-1574883077.jpg?crop=0.750xw:0.564xh;0.139xw,0.212xh&resize=480:*	The Endorsement
The 16 Best Face Washes to Keep You Looking Fresh During the Holidays	https://www.esquire.com/style/grooming/g14450556/best-face-wash-for-men/	Use these cleansers to combat winter's assault on your moneymaker.	Lauren Kranc	2019-11-26T21:50:00Z	https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/facewash-1574792141.jpg?crop=1.00xw:1.00xh;0,0&resize=480:*	
The 13 Best (and Worst) Beard Styles for Every Man	https://www.esquire.com/style/grooming/advice/g142/mens-beard-styles/	A not-at-all-scientific rundown of your options.	Esquire Editors	2019-11-26T21:02:00Z	https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/indexx-7-1574802794.jpg?crop=1.00xw:1.00xh;0,0&resize=480:*	
6 Reasons You Absolutely Need an Electric Razor	https://www.esquire.com/style/grooming/a29642239/reasons-you-need-electric-razor-panasonic/	A more seamless and effortless shave awaits.	Ben Radding	2019-11-07T10:45:00Z	https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/es-lv97-k-lifestyle-img02-copy-1572529519.jpg?crop=1.00xw:0.752xh;0,0.127xh&resize=480:*	Panasonic
The 2019 Esquire Grooming Awards	https://www.esquire.com/style/grooming/a29669716/best-grooming-products-for-men-2019/	Everything you need to keep you looking (and feeling, and smelling) like the best you.	Esquire Editors	2019-11-05T11:00:00Z	https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/lead-5-1572648877.jpg?crop=1xw:1xh;center,top&resize=480:*	
Save $100 on This Top-Rated Electric Shaver Today	https://www.esquire.com/style/grooming/a29689628/walmart-braun-electric-shaver-series-7-sale/	Skipping Movember? Meet your clean-shave solution.	Kelsey Mulvey	2019-11-04T21:43:00Z	https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/braun-shaver-1572896875.jpg?crop=1xw:1xh;center,top&resize=480:*	
